Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0xf7dcc97e4158c756345b7202025648d5ac11cdf4","","94.25","22.0902%",""
"2","0x4d22f5409d0f7ea11b23d7ef8734ba95481fa2e2","","61.5","14.4143%",""
"3","0x178637469a4061d2b653e69542990d08eda070d1","","57.38","13.4486%",""
"4","0x83d96020b0766f567afd2e19b5f62ef6dd4026d5","erichnguyen.base.eth","40.09","9.3962%",""
"5","0xde6785b0574e5867366d9e1732f968eac8b333bc","colonelworld.eth","32.7","7.6642%",""
"6","0x39f4da389fef57165bd470eb422c755e271f785b","","30.78","7.2142%",""
"7","0x3586543c31f1c77ee3140fd8bd2184caabb660a3","vivicrypto.base.eth","29.29","6.8650%",""
"8","0xe9f30beab4059cd1d130d700688344381bc92f26","","23.42","5.4891%",""
"9","0xef49d9e7356dad7a0523e880e9e187a9165bdfed","","10.05","2.3555%",""
"10","0x0cb6c036b411b30a04424a35aa3ab83602ab4633","","7.5","1.7578%",""
"11","0x0cc66319d129f887bd1d3fe58e10400ed1025a79","akobichris.base.eth","4.1000000000000024","0.9610%",""
"12","0x3f3bcee79d75d3580af8564ec2b9ea3cb68daf38","","3.95","0.9258%",""
"13","0x2e6ef714225ae97647305fe6e3d23adebf95161f","","3.63","0.8508%",""
"14","0x315963e514d6c7d86538607919d02b76b053df64","","3.19","0.7477%",""
"15","0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309","","3.01","0.7055%",""
"16","0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e","acesu.base.eth","2.92","0.6844%",""
"17","0x61e3cef3bc04e141ea2a03a62cd9293d16c82344","","2.5","0.5859%",""
"18","0xa830cd34d83c10ba3a8bb2f25ff8bbae9bcd0125","","1.48","0.3469%",""
"19","0x956900132b5ee2282aa65ce4fa2120ea533dc6c9","0xanonymous.base.eth","1.3","0.3047%",""
"20","0xc89cabb7817a66ec8ba3f1f20b53c85f0de1327f","","1.29","0.3023%",""
"21","0xb2ce6799a717860343248ee802bcdddf1906e959","mashusodo.base.eth","1.26","0.2953%",""
"22","0x280d9073b1f896411afeae2791f4354ff07bd951","0xjose1406.base.eth","1.13","0.2648%",""
"23","0xb1cc956a6c6d5b2a695440f2488e80ddcf227d78","","1.08","0.2531%",""
"24","0x607c77eadb523bbdd3249b87697626fa18ab0cac","","1.01","0.2367%",""
"25","0xdd75e696c7bc3ce5de0b0b3e19fa8212f28bc89d","","0.69","0.1617%",""
"26","0x3a425268663003c3f23c70ea9ce5730f3ef60f29","","0.65","0.1523%",""
"27","0x96ce0aecdd145136bc94b3484c57ee4572064a4f","nepara.eth","0.46","0.1078%",""
