Address,Address_Nametag,Leaderboard_Rank,Original_Quantity,Airdrop_Amount_10_Percent
0xf7dcc97e4158c756345b7202025648d5ac11cdf4,,1,94.25,9.425
0x4d22f5409d0f7ea11b23d7ef8734ba95481fa2e2,,2,61.5,6.15
0xe9f30beab4059cd1d130d700688344381bc92f26,,8,23.42,2.342
0x0cb6c036b411b30a04424a35aa3ab83602ab4633,,10,7.5,0.75
0x3f3bcee79d75d3580af8564ec2b9ea3cb68daf38,,12,3.95,0.395
0x2e6ef714225ae97647305fe6e3d23adebf95161f,,13,3.63,0.363
0x315963e514d6c7d86538607919d02b76b053df64,,14,3.19,0.319
0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309,,15,3.01,0.301
0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e,acesu.base.eth,16,2.92,0.292
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,,17,2.5,0.25
0x956900132b5ee2282aa65ce4fa2120ea533dc6c9,0xanonymous.base.eth,19,1.3,0.13
0xb1cc956a6c6d5b2a695440f2488e80ddcf227d78,,23,1.08,0.108
0x607c77eadb523bbdd3249b87697626fa18ab0cac,,24,1.01,0.101
0x3a425268663003c3f23c70ea9ce5730f3ef60f29,,26,0.65,0.065
0xd32820e093df01d8c2643b6a5b187b8c2b8644bc,ades121.base.eth,28,0.37,0.037
0x2f024b3eccfe52150e55a147ff4b3fc8640871b5,,35,0.23,0.023
0x939e38f9d88a535b7851582672212c7bfff63742,eskolantis.base.eth,40,0.12,0.012
0xf471f0008bac2c08c53919428b2a541a32c36eab,,43,0.11,0.011
0x6c492c42393e1561d690e0453ccb94f15def587d,,48,0.06,0.006
0xbeb6f0a258990723cce56092673c4d007f37c30f,,59,0.06,0.006
0xc7ecaaef4090893036a9da8abd3ca5b68fe13948,,60,0.06,0.006
0x4ccee93090768e1b46fe1133bc43a350e88bd891,,61,0.06,0.006
0x4e294e969a2c63a4d6dd30c17e88e77c33886ce2,,62,0.06,0.006
0xd2071c9994f498947330357cccf00c97881f78e0,,64,0.06,0.006
0x6e4cd10d2e42613e5d564e6341ac7f523c0e7c93,,65,0.06,0.006
0xb5deb2ab829322de5c9c2dd4b837a444202372f0,,66,0.06,0.006
0x8e85c14381923265ebfe17d19a3ec29708363202,,71,0.06,0.006
0x0a242da994ebbcbe1e8673616a1b35d884c78133,,74,0.06,0.006
0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,,75,0.06,0.006
0x98fe5d1e17480eed1d51960a403d59e8828c5dc5,sharpexlab.base.eth,78,0.05,0.005
