Address,NFT_Balance,Leaderboard_Balance,Airdrop_Amount_10_Percent
0xf7dcc97e4158c756345b7202025648d5ac11cdf4,5.0,3527.000060000000000597,352.7000060000000000597
0x4d22f5409d0f7ea11b23d7ef8734ba95481fa2e2,2.0,2058.000000000000000343,205.8000000000000000343
0x83d96020b0766f567afd2e19b5f62ef6dd4026d5,1.0,2716.000000000000000453,271.6000000000000000453
0x3586543c31f1c77ee3140fd8bd2184caabb660a3,1.0,1938.000000000000000323,193.8000000000000000323
0x39f4da389fef57165bd470eb422c755e271f785b,1.0,1896.000000000000000316,189.6000000000000000316
0xd2071c9994f498947330357cccf00c97881f78e0,1.0,1258.000480000000000218,125.8000480000000000218
0x6e4cd10d2e42613e5d564e6341ac7f523c0e7c93,1.0,1257.00060000000000022,125.700060000000000022
0x4e294e969a2c63a4d6dd30c17e88e77c33886ce2,1.0,1248.000540000000000217,124.8000540000000000217
0x8e85c14381923265ebfe17d19a3ec29708363202,1.0,1236.000720000000000218,123.6000720000000000218
0xc7ecaaef4090893036a9da8abd3ca5b68fe13948,1.0,1235.000120000000000208,123.5000120000000000208
0xb5deb2ab829322de5c9c2dd4b837a444202372f0,1.0,1223.000180000000000207,122.3000180000000000207
0xe9f30beab4059cd1d130d700688344381bc92f26,1.0,1206.000420000000000208,120.6000420000000000208
0xbeb6f0a258990723cce56092673c4d007f37c30f,1.0,1205.000960000000000217,120.5000960000000000217
0x0a242da994ebbcbe1e8673616a1b35d884c78133,1.0,1205.000480000000000209,120.5000480000000000209
0xb1cc956a6c6d5b2a695440f2488e80ddcf227d78,1.0,1200.000660000000000217,120.0000660000000000217
0x3462ff5e096e30f69a5b1e9e3c6a3107e8bf2309,1.0,406.000060000000000069,40.6000060000000000069
0x3f3bcee79d75d3580af8564ec2b9ea3cb68daf38,1.0,399.000000000000000067,39.9000000000000000067
0x0cb6c036b411b30a04424a35aa3ab83602ab4633,1.0,151.000000000000000026,15.1000000000000000026
0x607c77eadb523bbdd3249b87697626fa18ab0cac,1.0,150.000000000000000031,15.0000000000000000031
0x315963e514d6c7d86538607919d02b76b053df64,1.0,42.000000000000000007,4.2000000000000000007
0x36d8511ebb718f8f3b8dc32c96ce615bef8c564a,1.0,36.000050000000000009,3.6000050000000000009
0x2e6ef714225ae97647305fe6e3d23adebf95161f,1.0,11.000000000000000002,1.1000000000000000002
0x6c492c42393e1561d690e0453ccb94f15def587d,1.0,6.000000000000000003,0.6000000000000000003
0x98fe5d1e17480eed1d51960a403d59e8828c5dc5,1.0,6.000000000000000001,0.6000000000000000001
0x61e3cef3bc04e141ea2a03a62cd9293d16c82344,1.0,12.000000000000000002,1.2000000000000000002
0x0a9fd20fc663cc9afa28699959965a2a2dc5aae3,1.0,5.000000000000000001,0.5000000000000000001
0x2f024b3eccfe52150e55a147ff4b3fc8640871b5,1.0,0,0
0xf471f0008bac2c08c53919428b2a541a32c36eab,1.0,0,0
0xf0eb48f33bb174d6d17655574231a6a3acd4dd6f,1.0,0,0
0xe6dfd72f53c3415a7329b519ec5467d321b9d554,1.0,0.000000000000000002,0.0000000000000000002
0xe408f4f7590c026a5cc27f5c65087f502e458a23,1.0,0,0
0xdd6477c387708ece5a43a643fc8d76488c55c6d7,1.0,0,0
0xbfcdc2f21dfd9ac76beb1f986e156ee73c93f889,1.0,0,0
0xbc67cfffaddd07bcbb784369994496d130ba7956,1.0,0,0
0xbad941fb6c539643043854ce8e6320682a99f5e3,1.0,0,0
0xa1f13ec89cfce33b68bb920f1af8717ca7cd34ac,1.0,0,0
0x9f270ecbb2f1291b5f85e4bd896e69d66cf4092e,1.0,0,0
0x9ef27fae9ff3b973ac32e3add624050c58c4f557,1.0,0,0
0x956900132b5ee2282aa65ce4fa2120ea533dc6c9,1.0,0,0
0x939e38f9d88a535b7851582672212c7bfff63742,1.0,0,0
0x90e59896c405996416b3aa114e07fe47e5641181,1.0,0,0
0x8b6d1f709fcf62bf5c3fa288b1194cd945f9b1eb,1.0,0,0
0x728157bded1e13b03cdeace8183751b5a476361a,1.0,0,0
0x71a95d1b2583d90cd1f0301c41117ae2122f89bd,1.0,0,0
0x6c6967a17d6ee254a7cfe8a9109391272e0dcca0,1.0,0,0
0x640f37e18b32712d5463b1b93bdc671446019581,1.0,0,0
0x5ecc668e8a96e4b4cdc99410b48822dee8c09fa1,1.0,0,0
0x5b3292503b9030060146b4f06a536da9bbbc28b0,1.0,0,0
0x406e53e6b96fd072be36fa625229b83a31670d59,1.0,0,0
0x3a425268663003c3f23c70ea9ce5730f3ef60f29,1.0,0,0
0x048a0f98a58fe4db9ac4c49610783537ad2e3495,1.0,0,0
0x2e1f018276902fb09cd2503fa5b74a0d4d8b55cb,2.0,0,0
0xff99bc9c53d7025f9d3e5a87d55353ee0b7d2a03,1.0,0,0
